upz_id,cod_localidad,localidad,anio,mes,upz_nuse_hurto,upz_nuse_orden_publico,upz_nuse_otros,upz_nuse_violencia,upz_nuse_total,poblacion_localidad,dai_total,dai_hurto_personas,ir_total,indice_seguridad_nocturna_2019
UPZ72,10,ENGATIVÁ,2023,9,65.0,341.0,386.0,277.0,1069.0,830505.0,17846.0,9318.0,77148.0,43.08297155555556
UPZ72,10,ENGATIVÁ,2023,10,89.0,247.0,479.0,334.0,1149.0,830505.0,17846.0,9318.0,77148.0,43.08297155555556
UPZ72,10,ENGATIVÁ,2023,11,79.0,251.0,370.0,241.0,941.0,830505.0,17846.0,9318.0,77148.0,43.08297155555556
UPZ72,10,ENGATIVÁ,2023,12,71.0,305.0,443.0,301.0,1120.0,830505.0,17846.0,9318.0,77148.0,43.08297155555556
UPZ30,10,ENGATIVÁ,2023,1,203.0,829.0,965.0,719.0,2716.0,830505.0,17846.0,9318.0,77148.0,43.08297155555556
UPZ30,10,ENGATIVÁ,2023,2,162.0,1468.0,1052.0,794.0,3476.0,830505.0,17846.0,9318.0,77148.0,43.08297155555556
UPZ30,10,ENGATIVÁ,2023,3,208.0,1506.0,1018.0,856.0,3588.0,830505.0,17846.0,9318.0,77148.0,43.08297155555556
UPZ30,10,ENGATIVÁ,2023,4,215.0,1746.0,1062.0,856.0,3879.0,830505.0,17846.0,9318.0,77148.0,43.08297155555556
UPZ30,10,ENGATIVÁ,2023,5,188.0,1324.0,1065.0,862.0,3439.0,830505.0,17846.0,9318.0,77148.0,43.08297155555556
UPZ30,10,ENGATIVÁ,2023,6,182.0,1059.0,1124.0,911.0,3276.0,830505.0,17846.0,9318.0,77148.0,43.08297155555556
UPZ30,10,ENGATIVÁ,2023,7,220.0,1036.0,1018.0,773.0,3047.0,830505.0,17846.0,9318.0,77148.0,43.08297155555556
UPZ30,10,ENGATIVÁ,2023,8,163.0,721.0,1021.0,720.0,2625.0,830505.0,17846.0,9318.0,77148.0,43.08297155555556
UPZ30,10,ENGATIVÁ,2023,9,192.0,1092.0,999.0,806.0,3089.0,830505.0,17846.0,9318.0,77148.0,43.08297155555556
UPZ30,10,ENGATIVÁ,2023,10,216.0,962.0,1083.0,923.0,3184.0,830505.0,17846.0,9318.0,77148.0,43.08297155555556
UPZ30,10,ENGATIVÁ,2023,11,233.0,931.0,1181.0,888.0,3233.0,830505.0,17846.0,9318.0,77148.0,43.08297155555556
UPZ30,10,ENGATIVÁ,2023,12,182.0,1059.0,1206.0,882.0,3329.0,830505.0,17846.0,9318.0,77148.0,43.08297155555556
UPZ26,10,ENGATIVÁ,2023,1,301.0,986.0,1001.0,672.0,2960.0,830505.0,17846.0,9318.0,77148.0,43.08297155555556
UPZ26,10,ENGATIVÁ,2023,2,298.0,1005.0,1101.0,847.0,3251.0,830505.0,17846.0,9318.0,77148.0,43.08297155555556
